time,price
2025-10-03 17:40:04-04:00,94.35
2025-10-03 17:55:03-04:00,90.15
2025-10-03 18:10:03-04:00,92.15
2025-10-03 18:15:03-04:00,91.2
2025-10-03 19:15:03-04:00,102.7
2025-10-03 19:20:03-04:00,99.71
2025-10-03 19:30:04-04:00,97.49
2025-10-03 21:15:03-04:00,108.0
2025-10-03 21:20:03-04:00,103.8
2025-10-03 21:35:03-04:00,105.9
2025-10-03 21:55:03-04:00,106.95
2025-10-03 22:10:03-04:00,106.94
2025-10-03 22:40:03-04:00,113.25
2025-10-03 23:20:03-04:00,118.5
2025-10-03 23:25:03-04:00,116.4
2025-10-03 23:30:03-04:00,115.35
